,Questions,Answers
1612,who has impaired or reduced ability of viral clearance ,patients with chronic airway inflammatory diseases 
1613,what does their impairment stems from,a type 2skewed inflammatory response which deprives the airway of important type 1 responsive cd8 cells that are responsible for the complete clearance of virusinfected cells 
1614,where is this especially evident,in weak type 1 inflammationinducing viruses such as rv and rsv
1615,what are other effects,there are also evidence of reduced type i and iii interferon production due to type 2skewed inflammation which contributes to imperfect clearance of the virus resulting in persistence of viral components or the live virus in the airway epithelium 
1616,what is the effect of viral components remaining in the airway,antiviral genes such as type i interferons inflammasome activating factors and cytokines remained activated resulting in prolong airway inflammation
1617,what do these factors do,enhance granulocyte infiltration thus prolonging the exacerbation symptoms such persistent inflammation may also be found within dna viruses such as adv hcmv and hsv whose infections generally persist longer  further contributing to chronic activation of inflammation when they infect the airway
1618,what is also linked with the chronic inflammation that precedes the malignancies,human papilloma virus  a dna virus highly associated with head and neck cancers and respiratory papillomatosis
1619,what should be investigated in the future, the role of hpv infection in causing chronic inflammation in the airway and their association to exacerbations of chronic airway inflammatory diseases which is scarcely explored
1620,what further can viral persistence lead to,viral persistence which lead to continuous expression of antiviral genes may also lead to the development of steroid resistance which is seen with rv rsv and piv infection
1621,what effect the use of steroids to suppress inflammation can have,may also cause the virus to linger longer in the airway due to the lack of antiviral clearance
1622,what should be further focus of research,the concomitant development of steroid resistance together with recurring or prolong viral infection 
1623,which viruses may not cause prolonged inflammation due to strong induction of antiviral clearance,viruses that induce strong type 1 inflammation and cell death such as ifv and certain cov 
1624,what do these infections cause,massive damage and cell death to the epithelial barrier so much so that areas of the epithelium may be completely absent post infection  factors such as rantes and cxcl10 which recruit immune cells to induce apoptosis are strongly induced from ifv infected epithelium 
1625,what do the necroptotic factors such as rip3 do, further compounds the cell deaths in ifv infected epithelium  the massive cell death induced may result in worsening of the acute exacerbation due to the release of their cellular content into the airway further evoking an inflammatory response in the airway 
1626,what may the destruction of the epithelial barrier cause, further contact with other pathogens and allergens in the airway which may then prolong exacerbations or results in new exacerbations
1627,what may the epithelial destruction cause,may also promote further epithelial remodeling during its regeneration as viral infection induces the expression of remodeling genes such as mmps and growth factors  infections that cause massive destruction of the epithelium such as ifv usually result in severe acute exacerbations with nonclassical symptoms of chronic airway inflammatory diseases
1628,what is recommended that patients with chronic airway inflammatory disease, receive their annual influenza vaccination as the best means to prevent severe ifv induced exacerbation
1629,what is another mechanism that viral infections use to drive acute exacerbations,the induction of vasodilation or tight junction opening factors which may increase the rate of infiltration 
1630,what does infection of respiratory viruses cause,disruption of tight junctions with the resulting increased rate of viral infiltration this also increases the chances of allergens coming into contact with airway immune cells
1631,what is an example of this, ifv infection was found to induce oncostatin m which causes tight junction opening  similarly rv and rsv infections usually cause tight junction opening which may also increase the infiltration rate of eosinophils and thus worsening of the classical symptoms of chronic airway inflammatory diseases 
1632,what are also associated with viral infections and pneumonia development which may worsen inflammation in the lower airway, the expression of vasodilating factors and fluid homeostatic factors such as angiopoietinlike 4 and bactericidalpermeabilityincreasing foldcontaining family member a1 
1633,what is another area of interest,the relationship between asthma and copd exacerbations and their association with the airway microbiome
1634,what is usually linked with the development of chronic airway inflammatory diseases,specific bacterial species in the microbiome which may thrive in the inflamed airway environment 
1635,what follows in the event of a viral infection such as rv infection, the effect induced by the virus may destabilize the equilibrium of the microbiome present  in addition viral infection may disrupt biofilm colonies in the upper airway microbiome to be release into the lower airway and worsening the inflammation
1636,what does the viral infection alter,the nutrient profile in the airway through release of previously inaccessible nutrients that will alter bacterial growth
1637,what is the destabilization is further compounded by, impaired bacterial immune response either from direct viral influences or use of corticosteroids to suppress the exacerbation symptoms
1638,what does all this gradually lead to,more far reaching effect when normal flora is replaced with opportunistic pathogens altering the inflammatory profiles 
1639,why do these changes may result in more severe and frequent acute exacerbations ,due to the interplay between virus and pathogenic bacteria in exacerbating chronic airway inflammatory diseases 
1640,how effective are microbiome based trial therapies, have shown efficacy in the treatments of irritable bowel syndrome by restoring the intestinal microbiome 
1641,what can viral infections cause,the disruption of mucociliary function an important component of the epithelial barrier 
1642,which is the primary contactinfection site of most respiratory viruses,the upper airway epithelium
1643,what does the destruction of epithelial barrier mucociliary function and cell death of the epithelial cells do,serves to increase contact between environmental triggers with the lower airway and resident immune cells
1644,what are viral infections are usually accompanied with,oxidative stress which will further increase the local inflammation in the airway 
1645,what is the dysregulation of inflammation can be further compounded by,modulation of mirnas and epigenetic modification such as dna methylation and histone modifications that promote dysregulation in inflammation
1646,what does the change in the local airway environment and inflammation promote,growth of pathogenic bacteria that may replace the airway microbiome 
1647,what does the the inflammatory environment dispersal of upper airway commensals into the lower airway cause,inflammation and alteration of the lower airway environment resulting in prolong exacerbation episodes following viral infection 
1648,which are the most commonly studied viruses in chronic airway inflammatory diseases,rv rsv and ifv
1649,what do the infections such as rsv are shown to do, to directly destroy the cilia of the ciliated cells and almost all respiratory viruses infect the ciliated cells
1650,what does mucus overproduction do, disrupt the equilibrium of the mucociliary function following viral infection resulting in symptoms of acute exacerbation
1651,what does the disruption of the ciliary movement during viral infection may cause,micrornas 
1652,what are micrornas,short noncoding rnas involved in posttranscriptional modulation of biological processes and implicated in a number of diseases 
1653,what are mirnas found to be induced by, viral infections and may play a role in the modulation of antiviral responses and inflammation 
1654,what were linked to the exacerbation of the airway inflammation disease,circulating mirna changes
1655,where might such mirna changes have originated from,from the infected epithelium and responding immune cells which may serve to further dysregulate airway inflammation leading to exacerbations
1656,what are both ifv and rsv infections shown to do, to increase mir21 and augmented inflammation in experimental murine asthma models which is reversed with a combination treatment of antimir21 and corticosteroids
1657,what are ifv infection shown to do, increase mir125a and b and mir132 in copd epithelium which inhibits a20 and mavs and p300 and irf3 respectively resulting in increased susceptibility to viral infections 
1658,what happens in in asthmatic epithelium in ifv infection,mir22 was shown to be suppressed in asthmatic epithelium in ifv infection which lead to aberrant epithelial response contributing to exacerbations 
1659,what do noncoding rnas present as,as targets to modulate viral induced airway changes as a means of managing exacerbation of chronic airway inflammatory diseases
1660,what mechanisms other than mirna modulation play a role,epigenetic modification such as dna methylation 
1661,what have recent epigenetic studies indicated,the association of epigenetic modification and chronic airway inflammatory diseases and that the nasal methylome was shown to be a sensitive marker for airway inflammatory changes 
1662, what have these studies also shown, viral infections such as rv and rsv alters dna methylation and histone modifications in the airway epithelium which may alter inflammatory responses driving chronic airway inflammatory diseases and exacerbations
1663,what has spalluto etal have shown,that antiviral factors such as ifnγ epigenetically modifies the viral resistance of epithelial cells
1664, what infections such as rv and rsv that weakly induce antiviral responses may result in, an altered inflammatory state contributing to further viral persistence and exacerbation of chronic airway inflammatory diseases 
1665,what can viral infection result in, enhanced production of reactive oxygen species  oxidative stress and mitochondrial dysfunction in the airway epithelium 
1666,what sustains the inflammation in the airway,state of constant oxidative stress 
1667,what may viral infections of the respiratory epithelium by viruses such as ifv rv rsv and hsv do,may trigger the further production of ros as an antiviral mechanism
1668,what can happen in response to the infection such as neutrophils, infiltrating cells in response to the infection such as neutrophils will also trigger respiratory burst as a means of increasing the ros in the infected region the increased ros and oxidative stress in the local environment may serve as a trigger to promote inflammation thereby aggravating the inflammation in the airway 
1669,in addition to worsening disease symptoms what do viralinduced exacerbations do, also may alter the management of the disease or confer resistance toward treatments that worked before 
1670,what may studies in natural exacerbations and in viralchallenge models using rnasequencing or single cell rnaseq on a range of timepoints provide,important information regarding viral pathogenesis and changes induced within the airway of chronic airway inflammatory disease patients to identify novel targets and pathway for improved management of the disease
1671,what analysis functions may be useful, epithelial cell models such as the airliquid interface in vitro airway epithelial model that has been adapted to studying viral infection and the changes it induced in the airway 
1672,for what purpose animal based models aare developed for,to identify systemic mechanisms of acute exacerbation
1673,what can be used unravel the immune profile of a viral infection in healthy and diseased condition, the humanized mouse model that possess human immune cells 
1674,for what purpose controlled in vivo human infections can be performed for mild viruses,the best mode of verification of the associations of the virus with the proposed mechanism of viral induced acute exacerbations 
1675,why may the mechanisms of exacerbation vary considerably, due to the complex interactions between the host and the exacerbation agents
1676,what clinical condition is caused by hantaan virus,hemorrhagic fever with renal syndrome
1677,what is the structure of hantaan virus,enveloped negativesense rna virus
1678,what the animal vector reservoir for hantaan virus,rodents
1679,what diagnostic test is correlated with the severity of hfrs,plasma viral load
1680,how is interferon used in practice,an antiviral medicine
1681,what genotypes are associated with the severity of hfrs,rs12252 c allele and cc genotype
1682,which ifitm proteins have been shown to possess antiviral activity,ifitm1 2 and 3
1683,what is the hypothesized mechanism by which ifitms work,restrict viral infection at the stage of cellular entry
1684,what genotype causes truncation of the ifitm3 protein,rs12252 c allele
1685,what can cause a slowing growth in daily reported deaths,"significant impact
of interventions implemented several weeks earlier"
1686,when did italy go into iockdown,11th march
1687,approximately how many deaths have been averted in western europe with current nonpharmaceutical interventions remaining in place until the end of march,59000 deaths
1688,what are some nonpharmaceutical interventions,"case isolation the closure of schools and
universities banning of mass gatherings andor public events and most recently widescale social
distancing including local and national iockdowns"
1689,type of model used to infer the impact nonpharmaceutical interventions,semimechanistic bayesian hierarchical model
1690,how can a semimechanistic bayesian hierarchical model estimate changes to the reproductive number,"calculating backwards from the deaths observed over time to estimate transmission that
occurred several weeks prior allowing for the time lag between infection and death"
1691,what is a key assumption of a semimechanistic bayesian hierarchical model used for coronavirus,"each intervention has the same effect on the
reproduction number across countries and over time"
1692,"what is the time lag between when transmission changes occur and when their impact can be
observed in trends in mortality",23 weeks
1693,what is the key aim of nonpharmaceutical interventions,reduce the effective reproduction number
1694,what happens if the reproduction number is greater then 1,infections will increase 
1695,when did china introduce strict movement restrictions and other measures including case isolation and quarantine,23rd january
1696,what was the result of china's interventions introduced in january,"downward trend in the number of
confirmed new cases during february"
1697,what are examples of social distancing,"banning large gatherings and advising individuals not to socialize outside
their households"
1698,what was the estimated effect on china's reproduction number in march based on the intervention introduced in january,"from
around 24 during the uncontrolled epidemic down to below 1"
1699,why is it challenging to estimate the reproduction number,"high proportion of
infections not detected by health systems”7 and regular changes in testing policies"
1700,what is an alternative way to estimate the course of an epidemic,"backcalculate infections from
observed deaths"
1701,what is the estimated attack rate in italy,98% of the population
1702,as of the end of march what is the proportion of spaings population to be infected,150% million people
1703,which western european country is estimated to have the lowest attack rate,germany
1704,what is austria's estimated mean percentage of total population infected as of 28th march,11% 
1705,what is belgium's estimated mean percentage of total population infected as of 28th march,37% 
1706,what is denmark's estimated mean percentage of total population infected as of 28th march,11% 
1707,what is france's estimated mean percentage of total population infected as of 28th march,30% 
1708,what is germany's estimated mean percentage of total population infected as of 28th march,072% 
1709,what is italy's estimated mean percentage of total population infected as of 28th march,98% 
1710,what is norway's estimated mean percentage of total population infected as of 28th march,041% 
1711,what is spaings estimated mean percentage of total population infected as of 28th march,15% 
1712,what is spaings estimated mean percentage of total population infected as of 28th march,31% 
1713,what is switzerland's estimated mean percentage of total population infected as of 28th march,32% 
1714,what is united kingdom's estimated mean percentage of total population infected as of 28th march,27% 
1715,what is the estimated averaged initial reproduction number for western europe as of 28th march,387 
1716,why is there high uncertainty in estimating the impact of interventions against the coronavirus,"too early to detect substantial
intervention impact in many countries at earlier stages of their epidemic"
1717,why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the coronavirus reproduction number,close spacing of interventions in time
1718,what is estimated to drop immediately after an introduction of a nonpharmaceutical intervention, number of daily infections
1719,one way to understand the impact of interventions,"fit a counterfactual model without the interventions
and compare this to the actual model"
1720,what is a lockdown,banned gatherings of more than 2 people
1721,why is it hard to know the true incidence of infections number,underreporting as well as systematic and countryspecific changes in testing
1722,what is an example of a casebased measure against coronavirus,"strong recommendations or laws to the general
public and primary care about self—isolation when showing covid19like symptoms"
1723,what is an example of containment phase intervention,isolation if travelling back from an epidemic country
1724,what does a public events ban intervention mean,banning all public events of more than 100 participants
1725,an example of social distancing,work from home wherever possible
1726,example of social distancing,reducing use ofpublictransport
1727,what is a lockdown,regulationslegislations regarding strict facetoface social interaction
1728,what is an infectiontoonsetdistribution,"time from infection to the onset
of symptoms"
1729,what is an onsettodeath distribution,time from the onset of symptoms to death
1730,what is the populationaveraged infection fatality ratio,"adjusted for the age structure and contact patterns of
each country"
1731,what is the timevarying reproduction number a function of," initial reproduction number before interventions and the effect sizes from
interventions"
1732,what is an incubation period,infection to onset of symptoms
1733,what is an incubation period,"infection
toonset"
1734,what are the descriptive statistics for the onsettodeath for coronavirus,"gamma distributed with a mean of 188 days and a
coefficient of va riation 045"
1735,what are the descriptive statistics for the incubation period for coronavirus,"distribution is gamma distributed with mean 51 days and coefficient of variation
086"
1736,what is the estimated infectiontodeath distributiongs mean for coronavirus,239 days
1737,what is a well known approach to model the true number of infected individuals,discrete renewal process
1738,what is a way to measure virus transmission,reproductive number
1739,what term describes when a majority of the population has built an immunity to a virus,herd immunity
1740,what is the estimated number of people in italy infected with coronavirus by march 28th,"cumulatively 59 million people have been
infected as of march 28th"
1741,in 2009 what was the reported h1n1 vaccination rate in china,108%
1742,what is the highest alert level given by the world health organization to a pandemic,phase 6
1743,what does it mean for a pandemic to have a who alert level of 6,spread in more than two continents
1744,what was the estimated economic impact in the us from the 2009 sars pandemic,estimated at $30$100 billion
1745,how is 2019ncov transmitted,2019ncov was transmitted through respiratory tract and then induced pneumonia
1746,what are ways in which 2019ncov is transmitted,we found the presence of 2019ncov in anal swabs and blood as well and more anal swab positives than oral swab positives in a later stage of infection suggesting shedding and thereby transmitted through oral–fecal route
1747,is oral swab for detecting 2019ncov infection sufficient,the current strategy for the detection of viral rna in oral swabs used for 2019ncov diagnosis is not perfect the virus may be present in anal swabs or blood of patients when oral swabs detection negative
1748,is oral swab for detecting 2019ncov infection sufficient, patients infected with 2019ncov may harbour the virus in the intestine at the early or late stage of disease it is also worth to note none of the patients with viremia blood had positive swabs these patients would likely be considered as 2019ncov negative through routine surveillance and thus pose a threat to other people
1749,what other tests should be considered for 2019ncov epidemiology,serology should be considered for 2019ncov epidemiology
1750,what tests should be done before a 2019ncov infected patient is discharged,we cannot discharge a patient purely based on oral swabs negative who may still shed the virus by oralfecal route above all we strongly suggest using viral igm and igg serological test to confirm an infection considering the unreliable results from oral swabs detection
1751,what is a hantavirus,zoonotic diseases
1752,what plays a role in innate immunity to hantavirus infection,long noncoding rnas 
1753,what evidence suggests that rigi and ddx60 collaborate to exert antiviral effects,colocalized after htnv infection
1754,what was the major contribution of this study,the first study to describe the role of neat1 in htnv infection
1755,what symptoms were reported,of the remaining 29 20 reported fever 14 reported cough and eight reported weakness additional symptoms reported included headaches  sore throat  rhinorrhoea  shortness of breath  myalgia  diarrhoea and nausea 
1756,what did the collected data include,demographics history of recent travel to affected areas close contact with a probable or confirmed covid19 case underlying conditions signs and symptoms of disease at onset type of specimens from which the virus was detected and clinical outcome 
1757,when was covid surveillance implemented in european region,27 january 2020
1758,as of 21 february how many cases were reported,47
1759,where were the cases that were studied,21 were linked to two clusters in germany and france 14 were infected in china
1760,what was the median case age,42 years
1761,how many were male, 25 
1762,how many cases were there on 5 march,4250 
1763,when did the chinese authorities share the sequence of a novel coronavirus ,12 january 2020
1764,what is the name of the disease caused buy sarscov2,coronavirus disease 2019 
1765,what country does this study exclude,united kingdom 
1766,what does the study include,a comparison between cases detected among travellers from china and cases whose infection was acquired due to subsequent local transmission
1767,what did the ecdc and who regional office ask the countries, to complete a who standard covid19 case report form for all confirmed and probable cases according to who criteria
1768,what was the overall aim of the surveillance, to support the global strategy of containment of covid19 with rapid identification and followup of cases linked to affected countries in order to minimise onward transmission
1769,what were the surveillance objectives,to describe the key epidemiological and clinical characteristics of covid19 cases detected in europe inform country preparedness and improve further case detection and management 
1770,what is the adopted who case definition,a confirmed case was a person with laboratory confirmation of sarscov2 infection  irrespective of clinical signs and symptoms whereas a probable case was a suspect case for whom testing for sarscov2 was inconclusive or positive using a pancoronavirus assay
1771,when was the first reported death in france,15 february
1772,what is the presumed incubation period, up to 14 days [
1773,what were the places of infection, 35 cases  of whom 14 were infected in china  the remaining 21 cases were infected in europe 
1774,what places were linked to these,14 were linked to a cluster in bavaria germany and seven to a cluster in hautesavoie france 
1775,how many cases were hospitalised,all but two cases were hospitalised 
1776,why were they hospitalised, it is likely that most were hospitalised to isolate the person rather than because of severe disease 
1777,what was time from onset to hospitalisation,ranged between 0 and 10 days with a mean of 37 days 
1778,what was the duration of hospitalisation,the mean number of days to hospitalisation was 25 days for cases imported from china but 46 days for those infected in europe
1779,why was this,this was mostly a result of delays in identifying the index cases of the two clusters in france and germany in the german cluster for example the first three cases detected locally were hospitalised in a mean of 57 days whereas the following six took only a mean of 2 days to be hospitalised
1780,"how many cases reported symptoms at this point
", 31 cases
1781,how many cases were asymptomatic,two cases 
1782,what were the asymptomatic cases tested as,as part of screening following repatriation and during contact tracing respectively 
1783, for how many cases fever reported as the sole symptom, nine cases
1784,in how many cases the symptoms at diagnosis were consistent with the case definition for acute respiratory infection,in 16 of 29 symptomatic cases
1785,how many cases had data on preexisting conditions,seven cases
1786,how many cases had no preexisting conditions,five
1787,what other data on preexisting conditions were reported,one was reported to be obese and one had preexisting cardiac disease no data on clinical signs eg dyspnea etc were reported for any of the 38 cases
1788,how many reported viral pneumonia,two reported in italy and two reported in france
1789,what was the clinical evolution of the hospitalised cases,all hospitalised cases had a benign clinical evolution except four
1790,what happened to three cases who were aged 65 years or over,were admitted to intensive care and required respiratory support and one french case died
1791,what happened to the case who died,was hospitalised for 21 days and required intensive care and mechanical ventilation for 19 days
1792,what was the duration of hospitalisation reported for 16 cases ,a median of 13 days 
1793,how were the assays confirmed,according to specific assays targeting at least two separate genes gene as a screening test and rnadependent rna polymerase gene or nucleoprotein gene for confirmation 
1794,what were the specimen types for 21 cases,15 had positive nasopharyngeal swabs nine had positive throat swabs three cases had positive sputum two had a positive nasal swab one case had a positive nasopharyngeal aspirate and one a positive endotracheal aspirate
1795,as of 5 march 2020 what are the cases in the who european region,there are 4250 cases including 113 deaths reported among 38 countries
1796,what were the two contexts for transmission,sporadic cases among travellers from china and cases who acquired infection due to subsequent local transmission in europe 
1797,what does the analysis show on the difference between locally acquired cases vs imported cases,that the time from symptom onset to hospitalisationcase isolation was about 3 days longer for locally acquired cases than for imported cases
1798,what is required for locally acquired cases,"significant resources for contact tracing and quarantine and countries should be prepared to allocate considerable public health resources during the containment phase should local clusters emerge in their population in addition prompt sharing of information on cases and contacts through international notification systems such as the international health regulations mechanism and the european commissiongs european early warning and response system is essential to contain international spread of infection
"
1799,what was common to all imported cases,had a history of travel to china
1800,what testing and detection are needed,testing of suspected cases based on geographical risk of importation needs to be complemented with additional approaches to ensure early detection of local circulation of covid19 including through testing of severe acute respiratory infections in hospitals irrespectively of travel history as recommended in the who case definition updated on 27 february 2020 
1801,what did the finding prompt ecdc to do,include fever among several clinical signs or symptoms indicative for the suspected case definition
1802,why is understanding the infectionseverity critical ,to help plan for the impact on the healthcare system and the wider population
1803,why are serological tests vital,to understand the proportion of cases who are asymptomatic
1804,how can hospital based surveillance help,help estimate the incidence of severe cases and identify risk factors for severity and death
1805,how can present systems of surveillance be used,established hospital surveillance systems that are in place for influenza and other diseases in europe may be expanded for this purpose in addition a number of countries in europe are adapting and in some cases already using existing sentinel primary care based surveillance systems for influenza to detect community transmission of sarscov2
1806,how will this approach used,will be used globally to help identify evidence of widespread community transmission and should the virus spread and containment no longer be deemed feasible to monitor intensity of disease transmission trends and its geographical spread
1807,why is additional research needed, to complement surveillance data to build knowledge on the infectious period modes of transmission basic and effective reproduction numbers and effectiveness of prevention and case management options also in settings outside of china
1808,what growing dysjunction has been witnessed,a 'valley of death' 12 no less between broadening strides in fundamental biomedical research and their incommensurate reach into the clinic 
1809,what is aiming to incorporate pathways to translation at the earliest stages, recent changes in the structure of government funding 2 new public and private joint ventures and specialist undergraduate and postgraduate courses
1810,how much have the number of biomedical research publications targeting 'translational' concepts has increased ,exponentially up 1800%
1811,what ways to solve the issues are outlined,by creatively leveraging the socalled 'strengths' of viruses viral rna polymerisation and reverse transcription enable resistance to treatment by conferring extraordinary genetic diversity 
1812,how do these exact processes ultimately restrict viral infectivity, by strongly limiting virus genome sizes and their incorporation of new information 
1813,what does the author coin this evolutionary dilemma as,'information economy paradox'
1814,how do many viruses resolve this ,by manipulating multifunctional or multitasking host cell proteins  thereby maximising host subversion and viral infectivity at minimal informational cost
1815,how may this achilles heel be safely targeted, via hostoriented therapies to impose devastating informational and fitness barriers on escape mutant selection
1816,why may mmhptargeting therapies exhibit both robust and broadspectrum antiviral efficacy,since mmhps are often conserved targets within and between virus families
1817,what will achieving this through drug repurposing do, break the vicious cycle of escalating therapeutic development costs and trivial escape mutant selection both quickly and in multiple places 
1818,what are also discussed by the author, alternative posttranslational and rnabased antiviral approaches designer vaccines immunotherapy and the emerging field of neovirology
1819,what does the author anticipate international efforts will do, will enable the tapping of useful new biological functions and processes methods for controlling infection and the deployment of symbiotic or subclinical viruses in new therapies and biotechnologies that are so crucially needed
1820,what do pathogens do upon infection,stimulate expression of numerous host inflammatory factors that support recruitment and activation of immune cells 
1821,what is the flip side ,this same process also causes immunopathology when prolonged or deregulated
1822,what do rbps do,posttranscriptionally control expression of crucial inflammatory factors in various tissues and their potential therapeutic applications
1823,what is included in rbps,tristetraprolin and auf1
1824,what do tristetraprolin and auf1 do,promote degradation of aurich element containing mrna
1825,what do rbps include,members of the roquin and regnase families
1826,what domembers of the roquin and regnase families do,promote or effect degradation of mrnas harbouring stemloop structures
1827,what do the rbps include,rna methylation machinery
1828,what is the increasingly apparent role of rna methylation machinery ,in controlling inflammatory mrna stability
1829,where do these activities take place, in various subcellular compartments 
1830,what happens to these activities during infection,are differentially regulated
1831, in this way what do the mrnadestabilising rbps constitute ,a 'brake' on the immune system
1832,what can be done with the 'brake' on the immune system,may ultimately be toggled therapeutically
1833,what does the author anticipate that continued efforts will lead to,another mrna under posttranscriptional regulation by regnase1 and roquin
1834,what is another mrna under posttranscriptional regulation by regnase1 and roquin, furin
1835,what does furin encode,a conserved proprotein convertase crucial in human health and disease
1836,what are furin along with other pcsk family members implicated in, in immune regulation cancer and the entry maturation or release of a broad array of evolutionarily diverse viruses including human papillomavirus  influenza  ebola  dengue and human immunodeficiency virus 
1837,what do braun and sauter review, the roles of furin in these processes as well as the history and future of furintargeting therapeutics
1838,what dis their recent work reveal,how two ifncinducible factors exhibit broadspectrum inhibition of iav measles  zika and hiv by suppressing furin activity
1839,what has the increasing abundance of affordable sensitive highthroughput genome sequencing technologies led to, a recent boom in metagenomics and the cataloguing of the microbiome of our world
1840,what was this system used for the first time for, to directly sequence an rna virus genome 
1841,what have decades of basic immunology research provided ,a nearcomplete picture of the main armaments in the human antiviral arsenal 
1842,what has this focus on mammalian defences and pathologies sidelined,examination of the types and roles of viruses and antiviral defences that exist throughout our biosphere
1843,what has crisprcas antiviral immune system of prokaryotes been repurposed as,as a revolutionary geneediting biotechnology in plants and animals
1844,what is another case in point,the ancient lineage of nucleocytosolic large dna viruses 
1845,"what are the ancient lineage of ncldvs
",emerging human pathogens that possess enormous genomes of up to several megabases in size encoding hundreds of proteins with unique and unknown functions
1846,what do the recent efforts indicate regarding hundreds of human and avian infectious viruses, the true number may be in the millions and many harbour zoonotic potential 
1847,what is neovirology, an emerging field engaged in cataloguing and characterising this biodiversity through a global consortium
1848,what is predicted these efforts on neovirology will unlock,a vast wealth of currently unexplored biodiversity leading to biotechnologies and treatments that leverage the hostvirus interactions developed throughout evolution
1849,what are the two of the four pillars of the national innovation and science agenda,supporting industryacademia collaboration and nurturing talent and skills in the indopacific region
1850,what do australia's medical research and innovation priorities include,antimicrobial resistance global health and health security drug repurposing and translational research infrastructure
1851,what is essential for these priority outcomes,establishing durable international relationships that integrate diverse expertise
1852,what is the japan amed tasked with,translating the biomedical research output of that country
1853,what serious question was raised,as to whether or not our seasonal or pandemic flu might have another reservoir host
1854,what is a recent discovery,bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host 
1855,which bat virus have been found to be linked with diseases,potential human infecting hku1 4 5 and 9  recent merscov infection is another example for severe disease caused by usedtobeless pathogenic coronaviruses shi and colleagues by using ngs have discovered many unknown animal viruses from bat especially some important paramyxoviruses and reoviruses filovirus has also been identified in bat with potential severe outcomes lyssaviruses in the rhabdoviridae family have been linked with severe fatal human cases even in the developed countries including australia with the bites of bats in the city 
1856,what assay played an important role,reverse transcription polymerase chain reaction 
1857,what was the death toll in the 19181919 spanish influenza epidemic,50 million deaths worldwide
1858,how many people were infected during the 1918 spanish influenza epidemic,"an estimated one third of the world’s population or
z500 million persons were infected and had clinical
ly apparent illnesses"
1859,what was the case fatality rate in the 1918 spanish influenza epidemic,"case
fatality rates were 25% compared to 01% in other
inﬂuenza pandemics"
1860,what was the death toll in the 19181919 spanish influenza epidemic,"total deaths were estimated at
z50 million and were arguably as high as 100 mil
lion "
1861,are the modern day influenza viruses related to the 1918 spanish influenza virus," all inﬂuenza a pandemics since that time and
indeed almost all cases of inﬂuenza a worldwide except
ing human infections from avian viruses such as h5n1 and
h7n7 have been caused by descendants of the 1918
virus including “drifted” h1n1 viruses and reassorted
h2n2 and h3n2 viruses"
1862,why is the spanish influenza virus the mother of the modern influenza viruses,"the latter are composed of key
genes from the 1918 virus updated by subsequentlyincor—
porated avian inﬂuenza genes that code for novel surface

 

*armed forces institute of pathology rockville maryland usa
and tnational institutes of health bethesda maryland usa

proteins making the 1918 virus indeed the “mother” of all
pandemics"
1863,when was it determined that the 1918 pandemic was caused by the h1n1 influenza virus,"that question did not begin to be resolved until the 1930s
when closely related inﬂuenza viruses now known to be
h1n1 viruses were isolated ﬁrst from pigs and shortly
thereafter from humans seroepidemiologic studies soon
linked both of these viruses to the 1918 pandemic"
1864,did the spanish influenza or swine flu or the h1n1 virus disappear in humans for some time," descendants of the 1918
virus still persists enzootically in pigs they probably also
circulated continuously in humans undergoing gradual
antigenic drift and causing annual epidemics until the
1950s with the appearance of a new h2n2 pandemic
strain in 1957  the direct h1n1 viral descen
dants 0f the 1918 pandemic strain disappeared from human
circulation entirely although the related lineage persisted
enzootically in pigs"
1865,when did the swine flu virus reappear in humans," but in 1977 human h1n1 viruses
suddenly “reemerged” from a laboratory freezer  they
continue to circulate endemically and epidemically"
1866,what descendant lineages of the swine flu virus were identified in 2006," 2 major descendant lineages of the 1918
h1n1 virus as well as 2 additional reassortant lineages
persist naturally a human epidemicendemic h1n1 line
age a porcine enzootic h1n1 lineage socalled classic
swine ﬂu and the reassorted human h3n2 virus lineage
which like the human h1n1 virus has led to a porcine
h3n2 lineage"
1867,are the modern descendant influenza viruses as dangerous as the 1918 parent swine flu h1n1 virus,"none of these viral descendants however
approaches the pathogenicity of the 1918 parent virus"
1868,how dangerous are the modern h1n1 and the h3n2 viruses compared to the 1918 h1n1  viruses,"the human h1n1 and h3n2 lin
eages have both been associated with substantially lower
rates ofillness and death than the virus of 1918 in fact cur
rent h1n1 death rates are even lower than those for h3n2
lineage strains "
1869,are the descendant h1n1 strains of the 1918 h1n1 swine flu virus still prevalent,"h1n1 viruses descended from the 1918 strain as well as 
h3n2 viruses have now been cocirculating worldwide for
29 years and show little evidence of imminent extinction"
1870,is the origin and epidemiology of the 1918 swine flu known,"ongoing studies to map virulence
factors are yielding interesting results the 1918 sequence
data however leave unanswered questions about the ori
gin of the virus and about the epidemiology of the
pandemic"
1871,what is the geographical origin of the h1n1 swine flu ,"historical and epidemiologic data are inade
quate to identify the geographic origin of the virus 
and recent phylogenetic analysis of the 1918 viral genome
does not place the virus in any geographic context"
1872,is the geographical origin of the 1918 h1n1 swine flu known,"confounding deﬁnite assignment of a geographic
point of origin the 1918 pandemic spread more or less
simultaneously in 3 distinct waves during an z12month
period in 191871919 in europe asia and north america
the ﬁrst wave was best described in the united states in
march 1918"
1873,what is an unique feature of the 1918 swine flu,"the simultaneous infection
of humans and swin"
